region,region_old,district,crop,year,yield_mt_ha,national_avg_yield_mt_ha,potential_yield_mt_ha,rainfall_mm,rainfall_flagged,soil_ph_mid,organic_matter_pct_mid,total_nitrogen_pct_mid,avail_phosphorus_mg_kg_mid,cation_exchange_capacity_mid
ASHANTI,ASHANTI,AMANSIE WEST,CASSAVA,2021,33.5,24.27,45.0,1491.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,AMANSIE WEST,CASSAVA,2022,33.0,24.27,45.0,1375.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,AMANSIE WEST,CASSAVA,2023,32.07,24.27,45.0,1624.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,BEKWAI (AMANSIE EAST),CASSAVA,2021,33.5,24.27,45.0,1491.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,BEKWAI (AMANSIE EAST),CASSAVA,2022,34.6,24.27,45.0,1375.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,BEKWAI (AMANSIE EAST),CASSAVA,2023,34.6,24.27,45.0,1624.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,SEKYERE EAST,CASSAVA,2021,43.6,24.27,45.0,1491.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,SEKYERE EAST,CASSAVA,2022,43.9,24.27,45.0,1375.0,False,5.7,6.915,0.26,3.49,4.81
ASHANTI,ASHANTI,SEKYERE EAST,CASSAVA,2023,42.63,24.27,45.0,1624.0,False,5.7,6.915,0.26,3.49,4.81
CENTRAL,CENTRAL,ASSIN SOUTH,CASSAVA,2021,30.9,24.27,45.0,1381.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,ASSIN SOUTH,CASSAVA,2022,33.82,24.27,45.0,960.0,False,6.05,2.15,0.185,4.9,1.2
CENTRAL,CENTRAL,ASSIN SOUTH,CASSAVA,2023,32.88,24.27,45.0,1635.0,False,6.05,2.15,0.185,4.9,1.2
EASTERN,EASTERN,AKUAPIM NORTH,CASSAVA,2021,34.14,24.27,45.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AKUAPIM NORTH,CASSAVA,2022,34.21,24.27,45.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AKUAPIM NORTH,CASSAVA,2023,34.28,24.27,45.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AKUAPIM SOUTH,CASSAVA,2021,28.07,24.27,45.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AKUAPIM SOUTH,CASSAVA,2022,32.18,24.27,45.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AKUAPIM SOUTH,CASSAVA,2023,32.24,24.27,45.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AKYEMANSA,CASSAVA,2021,32.26,24.27,45.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AKYEMANSA,CASSAVA,2022,32.32,24.27,45.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,AKYEMANSA,CASSAVA,2023,32.38,24.27,45.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA EAST,CASSAVA,2021,37.67,24.27,45.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA EAST,CASSAVA,2022,37.75,24.27,45.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA EAST,CASSAVA,2023,37.83,24.27,45.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA WEST,CASSAVA,2021,38.2,24.27,45.0,1597.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA WEST,CASSAVA,2022,38.28,24.27,45.0,1389.0,False,5.95,4.095,0.185,1.74,4.81
EASTERN,EASTERN,ATIWA WEST,CASSAVA,2023,38.36,24.27,45.0,1416.0,False,5.95,4.095,0.185,1.74,4.81
